elapsed_secs,iter,best_score,incumbent_score,temp,w0,w1,w2
15.44,197000,1390.0000,1505.0000,39.575703,2.4824,0.0100,0.5104
15.64,199000,1390.0000,1526.0000,35.753558,2.4824,0.0100,0.5104
15.73,200000,1390.0000,1427.0000,34.044434,2.6613,0.0100,0.3324
15.83,201000,1390.0000,1483.0000,32.300563,2.6613,0.0100,0.3324
16.02,203000,1390.0000,1499.0000,28.905253,2.6613,0.0100,0.3324
16.12,204000,1390.0000,1410.0000,27.369864,2.6613,0.0100,0.3324
16.20,205000,1390.0000,1410.0000,25.983481,2.6773,0.0100,0.3145
16.30,206000,1390.0000,1410.0000,24.613136,2.6773,0.0100,0.3145
16.39,207000,1390.0000,1556.0000,23.294099,2.6773,0.0100,0.3145
16.78,211000,1390.0000,1502.0000,18.938096,2.6773,0.0100,0.3145
16.87,212000,1390.0000,1478.0000,17.998608,2.6773,0.0100,0.3145
16.96,213000,1390.0000,1424.0000,16.998341,2.6773,0.0100,0.3145
17.05,214000,1390.0000,1459.0000,16.063297,2.6773,0.0100,0.3145
17.24,216000,1390.0000,1424.0000,14.323198,2.6773,0.0100,0.3145
17.33,217000,1390.0000,1407.0000,13.493435,2.6773,0.0100,0.3145
17.52,219000,1390.0000,1407.0000,11.960981,2.6773,0.0100,0.3145
17.82,222000,1390.0000,1407.0000,10.095767,2.6773,0.0100,0.3145
18.22,226000,1390.0000,1407.0000,7.959860,2.6773,0.0100,0.3145
18.32,227000,1390.0000,1407.0000,7.483021,2.6773,0.0100,0.3145
18.42,228000,1390.0000,1407.0000,7.062225,2.6773,0.0100,0.3145
18.52,229000,1390.0000,1407.0000,6.629214,2.6773,0.0100,0.3145
18.62,230000,1390.0000,1407.0000,6.236453,2.6539,0.0109,0.3352
18.73,231000,1390.0000,1407.0000,5.859930,2.6539,0.0109,0.3352
18.83,232000,1390.0000,1407.0000,5.519364,2.6539,0.0109,0.3352
18.92,233000,1390.0000,1407.0000,5.219942,2.6539,0.0109,0.3352
19.02,234000,1390.0000,1407.0000,4.928874,2.6539,0.0109,0.3352
19.23,236000,1390.0000,1407.0000,4.392331,2.6539,0.0109,0.3352
19.33,237000,1390.0000,1407.0000,4.130864,2.6539,0.0109,0.3352
19.43,238000,1390.0000,1407.0000,3.881857,2.6539,0.0109,0.3352
